,tangram nr,item,grid_val,rot,counts
228,3,middle triangle,6.0,225.0,2
229,3,middle triangle,7.0,180.0,1
230,3,middle triangle,8.0,0.0,1
231,3,middle triangle,9.0,90.0,1
232,3,middle triangle,9.0,135.0,1
233,3,middle triangle,11.0,0.0,1
234,3,middle triangle,11.0,315.0,1
235,3,middle triangle,13.0,90.0,2
236,3,middle triangle,14.0,90.0,1
237,3,middle triangle,14.0,225.0,1
238,3,middle triangle,15.0,90.0,2
239,3,middle triangle,15.0,225.0,1
240,3,parallelogram,-1.0,0.0,2
241,3,parallelogram,-1.0,45.0,4
242,3,parallelogram,-1.0,90.0,10
243,3,parallelogram,-1.0,135.0,6
244,3,parallelogram,1.0,90.0,2
245,3,parallelogram,1.0,135.0,4
246,3,parallelogram,2.0,45.0,20
247,3,parallelogram,2.0,90.0,1
248,3,parallelogram,3.0,45.0,1
249,3,parallelogram,4.0,45.0,2
250,3,parallelogram,6.0,45.0,1
251,3,parallelogram,6.0,90.0,5
252,3,parallelogram,7.0,90.0,3
253,3,parallelogram,9.0,0.0,5
254,3,parallelogram,10.0,45.0,1
255,3,parallelogram,10.0,135.0,1
256,3,parallelogram,14.0,135.0,2
257,3,parallelogram,15.0,0.0,2
258,3,parallelogram,15.0,135.0,1
259,3,small triangle,-1.0,0.0,4
260,3,small triangle,-1.0,45.0,2
261,3,small triangle,-1.0,90.0,3
262,3,small triangle,-1.0,135.0,4
263,3,small triangle,-1.0,225.0,2
264,3,small triangle,-1.0,315.0,5
265,3,small triangle,0.0,45.0,10
266,3,small triangle,2.0,315.0,11
267,3,small triangle,3.0,90.0,2
268,3,small triangle,4.0,135.0,5
269,3,small triangle,5.0,90.0,6
270,3,small triangle,5.0,135.0,1
271,3,small triangle,6.0,0.0,2
272,3,small triangle,6.0,225.0,1
273,3,small triangle,6.0,315.0,1
274,3,small triangle,7.0,0.0,5
275,3,small triangle,9.0,135.0,7
276,3,small triangle,10.0,90.0,1
277,3,small triangle,11.0,45.0,1
278,3,small triangle,13.0,90.0,8
279,3,small triangle,14.0,225.0,2
280,3,small triangle,15.0,225.0,2
281,3,square,-1.0,0.0,13
282,3,square,-1.0,45.0,2
283,3,square,1.0,0.0,16
284,3,square,3.0,0.0,2
285,3,square,5.0,0.0,6
286,3,square,6.0,0.0,9
287,3,square,6.0,45.0,3
288,3,square,7.0,0.0,1
289,3,square,9.0,45.0,1
290,3,square,10.0,0.0,1
291,3,square,10.0,45.0,9
292,3,square,11.0,0.0,1
293,3,square,15.0,0.0,1
294,3,square,15.0,45.0,1
295,4,big triangle,-1.0,0.0,2
296,4,big triangle,-1.0,45.0,1
297,4,big triangle,-1.0,90.0,7
298,4,big triangle,-1.0,135.0,5
299,4,big triangle,-1.0,180.0,4
300,4,big triangle,-1.0,225.0,4
301,4,big triangle,-1.0,270.0,28
302,4,big triangle,-1.0,315.0,1
303,4,big triangle,1.0,90.0,1
304,4,big triangle,2.0,90.0,1
305,4,big triangle,3.0,45.0,1
306,4,big triangle,4.0,225.0,2
307,4,big triangle,5.0,90.0,8
308,4,big triangle,5.0,225.0,1
309,4,big triangle,6.0,45.0,25
310,4,big triangle,6.0,90.0,1
311,4,big triangle,6.0,135.0,2
312,4,big triangle,6.0,180.0,2
313,4,big triangle,6.0,225.0,2
314,4,big triangle,6.0,270.0,3
315,4,big triangle,6.0,315.0,1
316,4,big triangle,7.0,90.0,4
317,4,big triangle,7.0,135.0,1
318,4,big triangle,7.0,180.0,1
319,4,big triangle,7.0,270.0,5
320,4,big triangle,10.0,135.0,25
321,4,big triangle,11.0,90.0,1
322,4,big triangle,11.0,180.0,1
323,4,big triangle,11.0,270.0,34
324,4,middle triangle,-1.0,135.0,2
325,4,middle triangle,-1.0,225.0,5
326,4,middle triangle,-1.0,270.0,4
327,4,middle triangle,2.0,225.0,1
328,4,middle triangle,6.0,135.0,1
329,4,middle triangle,6.0,180.0,1
330,4,middle triangle,6.0,225.0,20
331,4,middle triangle,6.0,270.0,1
332,4,middle triangle,7.0,270.0,1
333,4,middle triangle,11.0,270.0,1
334,4,parallelogram,-1.0,0.0,1
335,4,parallelogram,-1.0,90.0,9
336,4,parallelogram,-1.0,135.0,1
337,4,parallelogram,4.0,90.0,1
338,4,parallelogram,5.0,135.0,1
339,4,parallelogram,6.0,135.0,1
340,4,parallelogram,7.0,135.0,1
341,4,parallelogram,8.0,90.0,2
342,4,parallelogram,9.0,45.0,1
343,4,parallelogram,9.0,90.0,38
344,4,parallelogram,10.0,45.0,1
345,4,small triangle,-1.0,0.0,4
346,4,small triangle,-1.0,90.0,3
347,4,small triangle,1.0,135.0,13
348,4,small triangle,2.0,90.0,1
349,4,small triangle,2.0,135.0,13
350,4,small triangle,5.0,180.0,1
351,4,small triangle,5.0,270.0,1
352,4,small triangle,8.0,0.0,1
353,4,small triangle,15.0,0.0,32
354,4,square,-1.0,0.0,1
355,4,square,-1.0,45.0,5
356,4,square,2.0,0.0,1
357,4,square,4.0,45.0,1
358,4,square,5.0,45.0,1
359,4,square,14.0,0.0,1
360,4,square,14.0,45.0,1
361,4,square,15.0,0.0,32
