,tangram nr,item,grid_val,rot,counts
106,1,SMALL-T,24.0,135.0,1
107,1,SMALL-T,24.0,225.0,1
108,1,SQUARE,1.0,0.0,2
109,1,SQUARE,2.0,0.0,1
110,1,SQUARE,3.0,0.0,8
111,1,SQUARE,4.0,0.0,1
112,1,SQUARE,6.0,0.0,1
113,1,SQUARE,8.0,0.0,14
114,1,SQUARE,9.0,0.0,1
115,1,SQUARE,11.0,0.0,14
116,1,SQUARE,11.0,45.0,1
117,1,SQUARE,12.0,0.0,11
118,1,SQUARE,14.0,0.0,1
119,1,SQUARE,14.0,45.0,2
120,1,SQUARE,19.0,0.0,1
121,1,SQUARE,19.0,45.0,1
122,1,SQUARE,22.0,45.0,1
123,1,SQUARE,24.0,0.0,1
124,1,SQUARE,24.0,45.0,2
125,2,BIG-T,2.0,0.0,20
126,2,BIG-T,3.0,0.0,1
127,2,BIG-T,7.0,135.0,1
128,2,BIG-T,8.0,135.0,2
129,2,BIG-T,12.0,0.0,2
130,2,BIG-T,12.0,180.0,21
131,2,BIG-T,13.0,0.0,40
132,2,BIG-T,13.0,180.0,1
133,2,BIG-T,13.0,270.0,1
134,2,MIDDLE-T,6.0,225.0,17
135,2,MIDDLE-T,6.0,315.0,8
136,2,MIDDLE-T,8.0,45.0,8
137,2,MIDDLE-T,8.0,135.0,6
138,2,MIDDLE-T,11.0,0.0,3
139,2,MIDDLE-T,12.0,135.0,1
140,2,MIDDLE-T,14.0,225.0,1
141,2,PARALL,10.0,45.0,1
142,2,PARALL,11.0,45.0,34
143,2,PARALL,11.0,90.0,2
144,2,PARALL,13.0,90.0,1
145,2,PARALL,16.0,0.0,1
146,2,SMALL-T,1.0,0.0,4
147,2,SMALL-T,1.0,315.0,1
148,2,SMALL-T,3.0,0.0,10
149,2,SMALL-T,3.0,180.0,1
150,2,SMALL-T,5.0,90.0,14
151,2,SMALL-T,8.0,135.0,3
152,2,SMALL-T,8.0,225.0,1
153,2,SMALL-T,9.0,135.0,1
154,2,SMALL-T,9.0,225.0,1
155,2,SMALL-T,9.0,270.0,17
156,2,SMALL-T,10.0,135.0,4
157,2,SMALL-T,11.0,0.0,1
158,2,SMALL-T,11.0,180.0,7
159,2,SMALL-T,12.0,45.0,1
160,2,SMALL-T,12.0,315.0,2
161,2,SMALL-T,13.0,180.0,8
162,2,SMALL-T,17.0,45.0,2
163,2,SMALL-T,17.0,135.0,2
164,2,SMALL-T,17.0,225.0,1
165,2,SMALL-T,17.0,315.0,2
166,2,SMALL-T,18.0,0.0,1
167,2,SMALL-T,19.0,135.0,1
168,2,SMALL-T,23.0,315.0,1
169,2,SMALL-T,24.0,45.0,1
170,2,SQUARE,4.0,0.0,1
171,2,SQUARE,17.0,0.0,28
172,2,SQUARE,22.0,0.0,6
173,2,SQUARE,22.0,45.0,1
174,2,SQUARE,24.0,0.0,1
175,2,SQUARE,29.0,0.0,1
176,3,BIG-T,6.0,45.0,1
177,3,BIG-T,8.0,0.0,18
178,3,BIG-T,8.0,180.0,1
179,3,BIG-T,9.0,180.0,1
180,3,BIG-T,10.0,0.0,1
181,3,BIG-T,11.0,135.0,39
182,3,BIG-T,12.0,225.0,2
183,3,BIG-T,13.0,225.0,17
184,3,BIG-T,14.0,225.0,1
185,3,BIG-T,15.0,135.0,2
186,3,BIG-T,16.0,225.0,1
187,3,BIG-T,17.0,90.0,14
188,3,BIG-T,17.0,225.0,4
189,3,BIG-T,18.0,225.0,23
190,3,BIG-T,20.0,180.0,1
191,3,BIG-T,23.0,225.0,2
192,3,BIG-T,24.0,225.0,1
193,3,BIG-T,24.0,270.0,1
194,3,MIDDLE-T,1.0,225.0,1
195,3,MIDDLE-T,3.0,180.0,1
196,3,MIDDLE-T,4.0,225.0,1
197,3,MIDDLE-T,6.0,0.0,1
198,3,MIDDLE-T,6.0,180.0,26
