,sid,tangram nr,step,small triangle,middle triangle,big triangle,square,parallelogram
53,85931,4,6,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0), (8.0, 135.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
54,85931,4,7,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0), (8.0, 135.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
55,85931,4,8,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(9.0, 90.0), (13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
56,85931,4,9,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(17.0, 135.0), (9.0, 90.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
57,85931,4,10,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(7.0, 45.0)}","{(23.0, 0.0)}",set()
58,85931,4,11,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}",set()
59,85931,4,12,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
60,85931,4,13,"{(23.0, 0.0), (2.0, 135.0)}","{(7.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
61,85931,4,14,"{(23.0, 0.0), (2.0, 135.0)}","{(7.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
62,85931,4,15,"{(23.0, 0.0), (2.0, 135.0)}","{(7.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
63,85931,4,16,"{(23.0, 0.0), (2.0, 135.0)}","{(7.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
64,92356,1,1,set(),set(),"{(17.0, 0.0)}",set(),set()
65,92356,1,2,set(),set(),"{(17.0, 0.0)}","{(11.0, 0.0)}",set()
66,92356,1,3,set(),"{(8.0, 225.0)}","{(17.0, 0.0)}","{(11.0, 0.0)}",set()
67,92356,1,4,set(),"{(8.0, 225.0)}","{(17.0, 0.0)}","{(14.0, 0.0)}",set()
68,92356,1,5,set(),"{(6.0, 90.0)}","{(17.0, 0.0)}","{(14.0, 0.0)}",set()
69,92356,1,6,set(),set(),"{(17.0, 0.0), (7.0, 315.0)}","{(14.0, 0.0)}",set()
70,92356,1,7,set(),set(),"{(17.0, 0.0), (7.0, 315.0)}","{(14.0, 0.0)}","{(9.0, 45.0)}"
71,92356,1,8,set(),set(),"{(17.0, 0.0), (7.0, 315.0)}","{(3.0, 0.0)}",set()
72,92356,1,9,"{(4.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 315.0)}","{(3.0, 0.0)}",set()
73,92356,1,10,"{(4.0, 315.0)}","{(7.0, 135.0)}","{(17.0, 0.0), (7.0, 315.0)}","{(3.0, 0.0)}",set()
74,92356,1,11,"{(4.0, 315.0)}","{(7.0, 135.0)}","{(17.0, 0.0), (7.0, 315.0)}","{(3.0, 0.0)}",set()
75,92356,1,12,"{(4.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 315.0)}","{(3.0, 0.0)}","{(7.0, 0.0)}"
76,92356,1,13,"{(4.0, 315.0)}",set(),"{(17.0, 0.0), (7.0, 315.0)}","{(8.0, 0.0)}","{(7.0, 0.0)}"
77,92356,1,14,"{(4.0, 315.0)}","{(6.0, 135.0)}","{(17.0, 0.0), (7.0, 315.0)}","{(8.0, 0.0)}","{(7.0, 0.0)}"
78,92356,1,15,"{(4.0, 315.0)}",set(),"{(17.0, 0.0)}",set(),"{(18.0, 0.0)}"
79,92356,1,16,"{(4.0, 315.0)}",set(),"{(17.0, 0.0)}","{(3.0, 0.0)}","{(18.0, 0.0)}"
80,92356,2,1,set(),set(),set(),"{(22.0, 0.0)}",set()
81,92356,2,2,"{(11.0, 0.0)}",set(),set(),"{(22.0, 0.0)}",set()
82,92356,2,3,"{(11.0, 0.0)}","{(6.0, 225.0)}",set(),"{(22.0, 0.0)}",set()
83,92356,2,4,"{(11.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
84,92356,2,5,set(),"{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
85,92356,2,6,set(),"{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
86,92356,2,7,"{(8.0, 135.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
87,92356,2,8,set(),"{(6.0, 225.0)}","{(13.0, 0.0)}","{(24.0, 0.0)}","{(11.0, 45.0)}"
88,92356,2,9,"{(22.0, 135.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(24.0, 0.0)}","{(11.0, 45.0)}"
89,92356,2,10,"{(22.0, 135.0), (22.0, 315.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(24.0, 0.0)}","{(11.0, 45.0)}"
90,92356,2,11,"{(22.0, 135.0), (22.0, 315.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(24.0, 0.0)}","{(11.0, 45.0)}"
91,92356,2,12,"{(22.0, 135.0), (22.0, 315.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(24.0, 0.0)}","{(11.0, 45.0)}"
92,92356,2,13,"{(22.0, 135.0), (22.0, 315.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(11.0, 45.0)}"
93,92356,2,14,"{(10.0, 135.0), (22.0, 135.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),set()
94,92356,2,15,"{(10.0, 135.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 0.0)}"
95,92356,2,16,"{(19.0, 135.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 0.0)}"
96,92356,3,1,set(),set(),"{(13.0, 225.0)}",set(),set()
97,92356,3,2,set(),set(),"{(13.0, 225.0), (11.0, 135.0)}",set(),set()
98,92356,3,3,set(),"{(24.0, 90.0)}","{(13.0, 225.0), (11.0, 135.0)}",set(),set()
99,92356,3,4,set(),"{(24.0, 90.0)}","{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
100,92356,3,5,"{(1.0, 45.0)}","{(24.0, 90.0)}","{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
101,92356,3,6,"{(1.0, 45.0), (3.0, 315.0)}","{(24.0, 90.0)}","{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
102,92356,3,7,"{(1.0, 45.0), (3.0, 315.0)}","{(24.0, 90.0)}","{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
103,92356,3,8,"{(1.0, 45.0), (3.0, 315.0)}","{(24.0, 90.0)}",set(),"{(2.0, 0.0)}","{(8.0, 90.0)}"
104,92356,3,9,"{(1.0, 45.0), (3.0, 315.0)}","{(24.0, 90.0)}","{(18.0, 225.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
105,92356,3,10,"{(1.0, 45.0), (3.0, 315.0)}","{(16.0, 135.0)}","{(18.0, 225.0)}","{(2.0, 0.0)}",set()
106,92356,3,11,"{(1.0, 45.0), (3.0, 315.0)}","{(16.0, 135.0)}","{(18.0, 225.0)}","{(2.0, 0.0)}","{(19.0, 90.0)}"
107,92356,3,12,"{(1.0, 45.0)}","{(7.0, 180.0)}","{(18.0, 225.0)}",set(),"{(19.0, 90.0)}"
108,92356,3,13,"{(1.0, 45.0), (2.0, 225.0)}","{(7.0, 180.0)}","{(18.0, 225.0)}",set(),"{(19.0, 90.0)}"
109,92356,3,14,"{(1.0, 45.0), (2.0, 225.0)}","{(7.0, 180.0)}","{(18.0, 225.0)}",set(),"{(8.0, 90.0)}"
110,92356,3,15,"{(1.0, 45.0), (2.0, 225.0)}","{(7.0, 180.0)}","{(18.0, 225.0), (11.0, 135.0)}",set(),"{(8.0, 90.0)}"
111,92356,3,16,"{(1.0, 45.0), (2.0, 225.0)}","{(7.0, 180.0)}","{(18.0, 225.0), (11.0, 135.0)}","{(12.0, 0.0)}","{(8.0, 90.0)}"
112,92356,4,1,set(),set(),"{(13.0, 270.0)}",set(),set()
113,92356,4,2,set(),set(),set(),set(),"{(12.0, 90.0)}"
114,92356,4,3,set(),set(),"{(9.0, 180.0)}",set(),"{(12.0, 90.0)}"
115,92356,4,4,"{(23.0, 0.0)}",set(),"{(9.0, 180.0)}",set(),"{(12.0, 90.0)}"
116,92356,4,5,"{(23.0, 0.0)}",set(),"{(9.0, 180.0)}","{(23.0, 0.0)}","{(12.0, 90.0)}"
117,92356,4,6,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(9.0, 180.0)}","{(23.0, 0.0)}","{(12.0, 90.0)}"
118,92356,4,7,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
119,92356,4,8,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(8.0, 225.0)}","{(23.0, 0.0)}",set()
120,92356,4,9,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(8.0, 225.0)}","{(23.0, 0.0)}","{(13.0, 45.0)}"
121,92356,4,10,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
122,92356,4,11,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
123,92356,4,12,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
124,92356,4,13,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
125,92356,4,14,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
126,92356,4,15,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
127,92356,4,16,"{(23.0, 0.0), (2.0, 135.0)}","{(7.0, 225.0)}","{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
128,92836,1,1,set(),set(),set(),set(),"{(17.0, 90.0)}"
129,92836,1,2,"{(22.0, 0.0)}",set(),set(),set(),"{(17.0, 90.0)}"
130,92836,1,3,"{(16.0, 0.0), (22.0, 0.0)}",set(),set(),set(),"{(17.0, 90.0)}"
131,92836,1,4,"{(16.0, 0.0), (22.0, 0.0)}",set(),"{(7.0, 225.0)}",set(),"{(17.0, 90.0)}"
132,92836,1,5,"{(16.0, 0.0), (22.0, 0.0)}",set(),"{(7.0, 45.0), (7.0, 225.0)}",set(),"{(17.0, 90.0)}"
133,92836,1,6,"{(16.0, 0.0), (22.0, 0.0)}",set(),"{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(17.0, 90.0)}"
134,92836,1,7,"{(9.0, 315.0), (22.0, 0.0)}",set(),"{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(17.0, 90.0)}"
135,92836,1,8,"{(9.0, 315.0)}","{(16.0, 135.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}",set()
